Latitude,Longitude,Elevation
34.73788000,-83.9320800,1185.0
34.73791000,-83.9320600,1184.0
34.73791000,-83.9320100,1182.0
34.73791000,-83.9319600,1181.0
34.73792000,-83.9319100,1179.0
34.73793000,-83.9318500,1177.0
34.73794000,-83.9318100,1176.0
34.73798000,-83.9317500,1174.0
34.73799000,-83.9316800,1172.0
34.73798000,-83.9316400,1170.0
34.73795000,-83.9316000,1169.0
34.73790000,-83.9315500,1167.0
34.73786000,-83.9315100,1165.0
34.73781000,-83.9314900,1164.0
34.73777000,-83.9314600,1163.0
34.73772000,-83.9314600,1162.0
34.73769000,-83.9314500,1162.0
34.73766000,-83.9314600,1161.0
34.73765000,-83.9314600,1161.0
34.73763000,-83.9314600,1161.0
34.73762000,-83.9314400,1160.0
34.73763000,-83.9314100,1159.0
34.73766000,-83.9313700,1158.0
34.73771000,-83.9313200,1157.0
34.73777000,-83.9312800,1157.0
34.73777000,-83.9312600,1156.0
34.73772000,-83.9312500,1155.0
34.73770000,-83.9312500,1155.0
34.73767000,-83.9312100,1153.0
34.73767000,-83.9311800,1152.0
34.73771000,-83.9311400,1151.0
34.73777000,-83.9311000,1151.0
34.73782000,-83.9310600,1150.0
34.73787000,-83.9310500,1149.0
34.73795000,-83.9310300,1148.0
34.73801000,-83.9310300,1148.0
34.73805000,-83.9310200,1147.0
34.73809000,-83.9310200,1147.0
34.73813000,-83.9310100,1146.0
34.73814000,-83.9309800,1144.0
34.73815000,-83.9309500,1143.0
34.73813000,-83.9309100,1142.0
34.73810000,-83.9308600,1141.0
34.73805000,-83.9308000,1139.0
34.73801000,-83.9307400,1138.0
34.73795000,-83.9306900,1136.0
34.73790000,-83.9306600,1135.0
34.73783000,-83.9306400,1134.0
34.73776000,-83.9306400,1133.0
34.73771000,-83.9306400,1132.0
34.73767000,-83.9306500,1132.0
34.73763000,-83.9306400,1131.0
34.73756000,-83.9306600,1130.0
34.73749000,-83.9306800,1130.0
34.73745000,-83.9306900,1129.0
34.73741000,-83.9307100,1128.0
34.73736000,-83.9307200,1127.0
34.73730000,-83.9307400,1126.0
34.73726000,-83.9307400,1124.0
34.73721000,-83.9307500,1123.0
34.73718000,-83.9307600,1123.0
34.73713000,-83.9307800,1122.0
34.73710000,-83.9308000,1121.0
34.73704000,-83.9308000,1120.0
34.73697000,-83.9308100,1117.0
34.73693000,-83.9308000,1116.0
34.73689000,-83.9308100,1115.0
34.73682000,-83.9308100,1114.0
34.73677000,-83.9308200,1113.0
34.73673000,-83.9308100,1111.0
34.73667000,-83.9307900,1109.0
34.73660000,-83.9307700,1108.0
34.73656000,-83.9307500,1106.0
34.73651000,-83.9307200,1105.0
34.73645000,-83.9307200,1104.0
34.73637000,-83.9307200,1102.0
34.73632000,-83.9307400,1102.0
34.73627000,-83.9307500,1102.0
34.73620000,-83.9307700,1102.0
34.73615000,-83.9308200,1102.0
34.73609000,-83.9308600,1102.0
34.73604000,-83.9308900,1100.0
34.73600000,-83.9309100,1099.0
34.73598000,-83.9308900,1098.0
34.73597000,-83.9308500,1096.0
34.73594000,-83.9308200,1094.0
34.73593000,-83.9307900,1093.0
34.73592000,-83.9307500,1092.0
34.73590000,-83.9307100,1090.0
34.73588000,-83.9306300,1088.0
34.73586000,-83.9305600,1085.0
34.73583000,-83.9304900,1083.0
34.73577000,-83.9303800,1079.0
34.73574000,-83.9303300,1077.0
34.73570000,-83.9302600,1074.0
34.73566000,-83.9302000,1073.0
34.73562000,-83.9301400,1072.0
34.73560000,-83.9300500,1071.0
34.73560000,-83.9299900,1070.0
34.73561000,-83.9299200,1070.0
34.73562000,-83.9298600,1070.0
34.73566000,-83.9298100,1071.0
34.73570000,-83.9297300,1071.0
34.73574000,-83.9296300,1071.0
34.73577000,-83.9295500,1071.0
34.73580000,-83.9295000,1071.0
34.73583000,-83.9294100,1070.0
34.73585000,-83.9293500,1069.0
34.73585000,-83.9292700,1068.0
34.73586000,-83.9291700,1067.0
34.73584000,-83.9291200,1066.0
34.73582000,-83.9290800,1065.0
34.73579000,-83.9290100,1064.0
34.73575000,-83.9289100,1062.0
34.73572000,-83.9288500,1061.0
34.73570000,-83.9288000,1061.0
34.73567000,-83.9287200,1060.0
34.73565000,-83.9286400,1059.0
34.73563000,-83.9285700,1059.0
34.73562000,-83.9285300,1058.0
34.73560000,-83.9284900,1058.0
34.73558000,-83.9284200,1057.0
34.73557000,-83.9284000,1056.0
34.73559000,-83.9283800,1056.0
34.73565000,-83.9283400,1056.0
34.73572000,-83.9283100,1056.0
34.73588000,-83.9282800,1056.0
34.73598000,-83.9282700,1055.0
34.73604000,-83.9282900,1054.0
34.73613000,-83.9283700,1055.0
34.73621000,-83.9284300,1055.0
34.73629000,-83.9284900,1054.0
34.73635000,-83.9285600,1054.0
34.73641000,-83.9286200,1054.0
34.73646000,-83.9286500,1054.0
34.73649000,-83.9286900,1055.0
34.73654000,-83.9287100,1054.0
34.73660000,-83.9287100,1053.0
34.73668000,-83.9287600,1053.0
34.73672000,-83.9287500,1052.0
34.73681000,-83.9287200,1051.0
34.73687000,-83.9287100,1050.0
34.73697000,-83.9287000,1049.0
34.73701000,-83.9287000,1050.0
34.73705000,-83.9286700,1049.0
34.73708000,-83.9286200,1048.0
34.73708000,-83.9285500,1047.0
34.73707000,-83.9284900,1045.0
34.73706000,-83.9284300,1044.0
34.73706000,-83.9283900,1043.0
34.73708000,-83.9283200,1042.0
34.73710000,-83.9282700,1042.0
34.73709000,-83.9281600,1040.0
34.73709000,-83.9280300,1039.0
34.73711000,-83.9279100,1037.0
34.73712000,-83.9278100,1035.0
34.73711000,-83.9277400,1033.0
34.73707000,-83.9276300,1031.0
34.73704000,-83.9275200,1030.0
34.73703000,-83.9274100,1028.0
34.73701000,-83.9273200,1027.0
34.73701000,-83.9272600,1026.0
34.73701000,-83.9272100,1025.0
34.73704000,-83.9271600,1025.0
34.73706000,-83.9271300,1024.0
34.73710000,-83.9271000,1024.0
34.73714000,-83.9270400,1023.0
34.73722000,-83.9269600,1023.0
34.73726000,-83.9269100,1022.0
34.73729000,-83.9268500,1021.0
34.73733000,-83.9268000,1020.0
34.73738000,-83.9267300,1019.0
34.73744000,-83.9266500,1017.0
34.73751000,-83.9265900,1016.0
34.73759000,-83.9265200,1016.0
34.73768000,-83.9264400,1015.0
34.73784000,-83.9262200,1014.0
34.73790000,-83.9261600,1015.0
34.73794000,-83.9261100,1015.0
34.73801000,-83.9260700,1016.0
34.73806000,-83.9260300,1016.0
34.73813000,-83.9259600,1014.0
34.73819000,-83.9259200,1013.0
34.73828000,-83.9258400,1011.0
34.73838000,-83.9257500,1009.0
34.73841000,-83.9256700,1007.0
34.73842000,-83.9255400,1004.0
34.73842000,-83.9255000,1004.0
34.73846000,-83.9253500,1001.0
34.73847000,-83.9253100,1000.0
34.73850000,-83.9252600,998.0
34.73859000,-83.9252000,996.0
34.73860000,-83.9251700,995.0
34.73860000,-83.9251200,993.0
34.73858000,-83.9250600,992.0
34.73861000,-83.9250200,990.0
34.73865000,-83.9249700,988.0
34.73879000,-83.9248800,983.0
34.73895000,-83.9247900,980.0
34.73908000,-83.9247400,979.0
34.73914000,-83.9247200,978.0
34.73920000,-83.9247000,978.0
34.73921000,-83.9246900,977.0
34.73920000,-83.9246800,977.0
34.73912000,-83.9246600,977.0
34.73896000,-83.9246200,976.0
34.73886000,-83.9245900,975.0
34.73881000,-83.9245800,975.0
34.73876000,-83.9245600,975.0
34.73874000,-83.9245500,975.0
34.73873000,-83.9244900,974.0
34.73875000,-83.9244400,972.0
34.73881000,-83.9243900,971.0
34.73888000,-83.9243700,971.0
34.73901000,-83.9243500,971.0
34.73917000,-83.9243300,971.0
34.73927000,-83.9243000,969.0
34.73938000,-83.9243000,967.0
34.73954000,-83.9243200,964.0
34.73965000,-83.9243000,961.0
34.73978000,-83.9242900,957.0
34.73989000,-83.9242500,954.0
34.74003000,-83.9241700,950.0
34.74012000,-83.9240800,948.0
34.74021000,-83.9240100,948.0
34.74027000,-83.9239500,947.0
34.74039000,-83.9238500,946.0
34.74043000,-83.9237900,946.0
34.74050000,-83.9237300,946.0
34.74053000,-83.9237000,945.0
34.74056000,-83.9236400,945.0
34.74058000,-83.9235900,944.0
34.74062000,-83.9235500,944.0
34.74067000,-83.9235200,944.0
34.74069000,-83.9235000,944.0
34.74074000,-83.9234800,943.0
34.74080000,-83.9234200,943.0
34.74083000,-83.9233600,943.0
34.74086000,-83.9233000,942.0
34.74089000,-83.9232500,942.0
34.74093000,-83.9232100,941.0
34.74100000,-83.9231200,940.0
34.74110000,-83.9230000,939.0
34.74116000,-83.9229600,938.0
34.74121000,-83.9229500,938.0
34.74128000,-83.9229300,937.0
34.74131000,-83.9229000,936.0
34.74137000,-83.9228600,935.0
34.74143000,-83.9228100,934.0
34.74154000,-83.9226600,932.0
34.74160000,-83.9227100,931.0
34.74167000,-83.9227300,931.0
34.74179000,-83.9227400,932.0
34.74188000,-83.9227200,932.0
34.74193000,-83.9227100,933.0
34.74192000,-83.9226400,932.0
